country,flag,dbpedia1,wiki1
’γιος Χριστόφορος και Νέβις,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Saint_Kitts_and_Nevis.svg/200px-Flag_of_Saint_Kitts_and_Nevis.svg.png,http://el.dbpedia.org/resource/’γιος_Χριστόφορος_και_Νέβις,http://el.wikipedia.org/wiki/%CE%86%CE%B3%CE%B9%CE%BF%CF%82_%CE%A7%CF%81%CE%B9%CF%83%CF%84%CF%8C%CF%86%CE%BF%CF%81%CE%BF%CF%82_%CE%BA%CE%B1%CE%B9_%CE%9D%CE%AD%CE%B2%CE%B9%CF%82
Βρετανικό Έδαφος Ινδικού Ωκεανού,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Flag_of_the_British_Indian_Ocean_Territory.svg/200px-Flag_of_the_British_Indian_Ocean_Territory.svg.png,http://el.dbpedia.org/resource/Βρετανικό_Έδαφος_Ινδικού_Ωκεανού,http://el.wikipedia.org/wiki/%CE%92%CF%81%CE%B5%CF%84%CE%B1%CE%BD%CE%B9%CE%BA%CF%8C_%CE%88%CE%B4%CE%B1%CF%86%CE%BF%CF%82_%CE%99%CE%BD%CE%B4%CE%B9%CE%BA%CE%BF%CF%8D_%CE%A9%CE%BA%CE%B5%CE%B1%CE%BD%CE%BF%CF%8D
Αμερικανικές Παρθένοι Νήσοι,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Flag_of_the_United_States_Virgin_Islands.svg/200px-Flag_of_the_United_States_Virgin_Islands.svg.png,http://el.dbpedia.org/resource/Αμερικανικές_Παρθένοι_Νήσοι,http://el.wikipedia.org/wiki/%CE%91%CE%BC%CE%B5%CF%81%CE%B9%CE%BA%CE%B1%CE%BD%CE%B9%CE%BA%CE%AD%CF%82_%CE%A0%CE%B1%CF%81%CE%B8%CE%AD%CE%BD%CE%BF%CE%B9_%CE%9D%CE%AE%CF%83%CE%BF%CE%B9
Εθνικό μεταβατικό Συμβούλιο,http://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Libya_%281951%29.svg/200px-Flag_of_Libya_%281951%29.svg.png,http://el.dbpedia.org/resource/Εθνικό_μεταβατικό_Συμβούλιο,http://el.wikipedia.org/wiki/%CE%95%CE%B8%CE%BD%CE%B9%CE%BA%CF%8C_%CE%BC%CE%B5%CF%84%CE%B1%CE%B2%CE%B1%CF%84%CE%B9%CE%BA%CF%8C_%CE%A3%CF%85%CE%BC%CE%B2%CE%BF%CF%8D%CE%BB%CE%B9%CE%BF
Πρώην Γιουγκοσλαβική Δημοκρατία της Μακεδονίας,http://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Flag_of_Macedonia.svg/200px-Flag_of_Macedonia.svg.png,http://el.dbpedia.org/resource/Πρώην_Γιουγκοσλαβική_Δημοκρατία_της_Μακεδονίας,http://el.wikipedia.org/wiki/%CE%A0%CF%81%CF%8E%CE%B7%CE%BD_%CE%93%CE%B9%CE%BF%CF%85%CE%B3%CE%BA%CE%BF%CF%83%CE%BB%CE%B1%CE%B2%CE%B9%CE%BA%CE%AE_%CE%94%CE%B7%CE%BC%CE%BF%CE%BA%CF%81%CE%B1%CF%84%CE%AF%CE%B1_%CF%84%CE%B7%CF%82_%CE%9C%CE%B1%CE%BA%CE%B5%CE%B4%CE%BF%CE%BD%CE%AF%CE%B1%CF%82
Ηνωμένες Πολιτείες Αμερικής,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_the_United_States.svg/200px-Flag_of_the_United_States.svg.png,http://el.dbpedia.org/resource/Ηνωμένες_Πολιτείες_Αμερικής,http://el.wikipedia.org/wiki/%CE%97%CE%BD%CF%89%CE%BC%CE%AD%CE%BD%CE%B5%CF%82_%CE%A0%CE%BF%CE%BB%CE%B9%CF%84%CE%B5%CE%AF%CE%B5%CF%82_%CE%91%CE%BC%CE%B5%CF%81%CE%B9%CE%BA%CE%AE%CF%82
Αυτόνομη Δημοκρατία της Κριμαίας,http://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Crimea.svg/200px-Flag_of_Crimea.svg.png,http://el.dbpedia.org/resource/Αυτόνομη_Δημοκρατία_της_Κριμαίας,http://el.wikipedia.org/wiki/%CE%91%CF%85%CF%84%CF%8C%CE%BD%CE%BF%CE%BC%CE%B7_%CE%94%CE%B7%CE%BC%CE%BF%CE%BA%CF%81%CE%B1%CF%84%CE%AF%CE%B1_%CF%84%CE%B7%CF%82_%CE%9A%CF%81%CE%B9%CE%BC%CE%B1%CE%AF%CE%B1%CF%82
Λαϊκή Δημοκρατία της Γερμανίας,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Flag_of_East_Germany.svg/200px-Flag_of_East_Germany.svg.png,http://el.dbpedia.org/resource/Λαϊκή_Δημοκρατία_της_Γερμανίας,http://el.wikipedia.org/wiki/%CE%9B%CE%B1%CF%8A%CE%BA%CE%AE_%CE%94%CE%B7%CE%BC%CE%BF%CE%BA%CF%81%CE%B1%CF%84%CE%AF%CE%B1_%CF%84%CE%B7%CF%82_%CE%93%CE%B5%CF%81%CE%BC%CE%B1%CE%BD%CE%AF%CE%B1%CF%82
Λαϊκή Δημοκρατία του Κονγκό,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/200px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png,http://el.dbpedia.org/resource/Λαϊκή_Δημοκρατία_του_Κονγκό,http://el.wikipedia.org/wiki/%CE%9B%CE%B1%CF%8A%CE%BA%CE%AE_%CE%94%CE%B7%CE%BC%CE%BF%CE%BA%CF%81%CE%B1%CF%84%CE%AF%CE%B1_%CF%84%CE%BF%CF%85_%CE%9A%CE%BF%CE%BD%CE%B3%CE%BA%CF%8C
Βρετανικό Έδαφος Ανταρκτικής,http://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_the_British_Antarctic_Territory.svg/200px-Flag_of_the_British_Antarctic_Territory.svg.png,http://el.dbpedia.org/resource/Βρετανικό_Έδαφος_Ανταρκτικής,http://el.wikipedia.org/wiki/%CE%92%CF%81%CE%B5%CF%84%CE%B1%CE%BD%CE%B9%CE%BA%CF%8C_%CE%88%CE%B4%CE%B1%CF%86%CE%BF%CF%82_%CE%91%CE%BD%CF%84%CE%B1%CF%81%CE%BA%CF%84%CE%B9%CE%BA%CE%AE%CF%82
